מספר הסדנה,שם הסדנה,שם המנחה,תקציר,קהל יעד,אופי הסדנה
1,קסם גילוי וריפוי ביומן הויזואלי,"יעל אברהם, פסיכולוגית חינוכית מומחית, מדריכה מטפלת משפחתית מוסמכת. מנחה מוסמכת ליומן וויזואלי בשיטת ""דפי הנפש""","קסם גילוי וריפוי ביומן הויזואלי בסדנה נכיר כלי מרגש ועוצמתי והוא היומן הויזואלי. יחד נתפור את היומן שלנו, ונתוודע לכוחה המרפא של היצירה ביומן. היומן הויזואלי הינו כלי יצירתי 'חדש - ישן' המוכר עוד מזמנו של קארל יונג, אשר השתמש ביומן ויזואלי לעידוד חקירה של עולם הנפש לכיוון של התפתחות, צמיחה ואינדיבידואציה. היומן יכול לשמש הן ככלי לריפוי עצמי, הן כיומן מסע והן ככלי התערבות במסגרת הטיפול הפסיכולוגי בו הוא משמש כמיכל לתהליכים טיפוליים וכמרחב מעברי -המתקיים בין המציאות לבין הדמיון ובו מתרחשת החוויה היצירתית. ניתן לעבוד עם היומן הויזואלי כחלק מליווי טיפולי- פרטני ואף להיעזר בו בעבודה קבוצתית. בעזרת היומן הויזואלי ניתן לבוא במגע עם חומרי הנפש ולבטאם באופן סימבולי, השלכתי ומוגן ,תוך כדי שימוש בדימויים חזותיים , אשר נושאים איתם מסרים מן הלא מודע. הקשיבות למסרים אלו, יכולה להוביל להדרכה פנימית, לתובנות ולהתפתחות. העבודה ביומן הויזואלי משמעותית ביותר בתקופות של שינוי והיא מאפשרת אינטגרציה מחודשת של העצמי. הטכניקות בהן נעבוד בסדנה זו לקוחות מעולם ה MIX MEDIA ומשלבות שימוש בטקסטים, פוטותרפיה, דימויים, צבעים, מגזינים וחומרי יצירה שונים. אין צורך בידע אומנותי מוקדם. הסדנה הינה חווייתית ומתאימה לכולם אך מחייבת פתיחות, רצון ויכולת לשתף בתכנים אישיים. מובטחת הנאה, התרגשות ורגעי קסם רבים. בשנה האחרונה ליוויתי צוותים טיפוליים בעבודה יצירתית של היומן הוויזואלי בעזרתה התאפשר עיבוד של אירועי השבעה באוקטובר.","מדריכים.ות, מנהלים.ות",חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
2,Positive CBT פסיכולוגיה קוגניטיבית-התנהגותית-חיובית בשדה הפסיכולוגיה החינוכית,"ד""ר דליה אלוני, פסיכולוגית חינוכית מומחית, בעלת תואר דוקטור (PhD) בפסיכולוגיה מאוניברסיטת תל אביב, מטפלת קוגניטיבית התנהגותית (CBT) פסיכולוגית חינוכית בתיכון רב תרבותי, מרצה וחוקרת באקדמיה, בעלת קליניקה פרטית, יוצרת עוצמה- לגלות את החוזקות.","""אתה אמיץ יותר ממה שאתה מאמין, חזק יותר מאיך שאתה נרא ה וחכם יותר מכפי שאתה חושב"" (פו הדוב, א.א. מילן) דמיינו לעצמכם עולם שבו נוכל לזהות את החוזקות האישיות והמקצועיות שלנו, ואת אלה של המטופלים והצוותים החינוכיים, ונוכל להציע להם דרכים מגוונות כיצד לממש אותן, באופן שיעלה את תחושת המסוגלות, משמעותיות, ערך, ביטחון עצמי וחוסן; כך שירגישו מסוגלים להתמודד עם האתגרים בחיי היום יום. נשמע לכם כמו חלק מחלום?... מחקרים רבים מראים שזה אפשרי באמצעות פרקטיקות קוגניטיביות-התנהגותיות-חיוביות המיושמות, הן בסביבת הבית והן בסביבה המקצועית. מנקודת מבט זו, Positive CBT הינה גישה המשלבת את ממצאי המחקר והכלים הטיפוליים של הפסיכולוגיה החיובית (PP) והטיפול הממוקד פתרון בעיות (SFBT), בתוך מסגרת של הבנה וכלים קוגניטיביים התנהגותיים (CBT). תכליתה של תפיסת עולם מקצועית ייחודית זו, היא לזהות את היכולות והחוזקות, להעצים כוחות ומשאבים, למקד את הקשיים, לעודד חיפוש יזום אחר פתרונות, להקפיד על העצמת תחושת המסוגלות ולחדד את תחושת מיקוד השליטה הפנימי של הילד או המבוגר, לכל אורך התהליך. מאז פרוץ מלחמת חרבות ברזל, עוצמה לגלות את החוזקות, מותאמת לזמנים של שגרה ומשבר ולאתגרי התקופה הנוכחית. עוצמה הינה גישת התערבות יישומית, המציעה הבנה, כיווני מחשבה וארגז כלים יישומיים לאנשי טיפול וצוותים חינוכיים. גישת Positive CBT הינה גישה חוצת אבחנות ותרבויות, רווחת בעולם, הכוללת הבנה וכלים המתאימים להתערבות פרטנית, קבוצתית ומערכתית. גישה זו נחשבת חלק מהגל הרביעי בטיפול הקוגניטיבי-התנהגותי (CBT). היא מכוונת לעתיד, מוסיפה התמקדות ביכולות, ערכים, כישורים והזדמנויות חדשות, שניתן להטמיע בחיי היום יום, במצבים של שגרה ומשבר. אם מעניין אתכם להכיר את הגישה של Positive CBT, לגלות את החוזקות האישיות והמקצועיות שלכם, להתנסות באופן חווייתי ויצירתי, להכיר מגוון כלים יישומיים אשר ניתן לשלב בטיפול ובהתערבויות פרטניות ומערכתיות עם ילדים, הורים וצוותים חינוכיים, מוזמנים להשתתף בסדנה מרחיבת אופקים, המקדמת התפתחות אישית ומקצועית. אופן העברה: סדנה חווייתית-עיונית, כל משתתף יקבל גישה לתיקייה דיגיטלית הכוללת מאמרים, מצגות, כלים וחומרי העשרה.",כולם.ן,עיוני – טיפול (סדנת למידה בנושאים הקשורים לפסיכותרפיה)
3,"חדש! ""צייר לי כבשה, כתוב לי מכתב"": בינה מלאכותית יוצרת בשדה הפסיכולוגיה החינוכית","ד""ר זוהר אליוסף, הוא פסיכולוג חינוכי מומחה, ראש המרכז למחקר פסיכוביולוגי ומרצה בכיר בתכנית ה-MA לפסיכולוגיה חינוכית במכללת עמק יזרעאל בישראל. הוא גם חוקר עמית בפקולטה לרפואה באימפריאל קולג' בלונדון וחוקר ביחידת הבינה המלאכותית במשרד החינוך הישראלי. מחקרו מתמקד ביישומים, יסודות תאורטיים והשלכות אתיות של מודלים שפתיים גדולים בבריאות הנפש. ד״ר קרני גיגי, פסיכולוגית חינוכית מומחית בשפ״ח ת״א-יפו ובקליניקה פרטית. חברה בועד החטיבה החינוכית בהפ״י . חברה בצוות מחקר ופיתוח של השלישי המלאכותי. יפתח צפריר, פסיכולוג חינוכי מומחה, בוגר לימודי פסיכותרפיה קוגניטיבית התנהגותית של מרכז חוסן, חבר בצוות המחקר והפיתוח של קהילת ""השלישי המלאכותי"".","בשנה האחרונה פרצה הבינה המלאכותית היוצרת (Generative AI) לקהל הרחב דרך ChatGPT, Claude ועוד. מאז התחום מתפתח בקצב מסחרר לא רק סביב תחום השפה אלא גם בתחום הקול, התמונה, הוידאו והמוסיקה. מהי בינה מלאכותית יוצרת? מערכת היכולה לשוחח עם המשתמש בשפה טבעית, ומבוססת על מאגרי ידע עצומים. היא לא רק מאפשרת מתן ידע, אלא ניתוח של טקסט ויצירת טקסט חדש . כניסתה של בינה המלאכותית בתחום השפה מייצגת את אובדן המונופול של המין האנושי על השפה, ומערערת על ייחודיותו של האדם בעולם. לצד היתרונות והאפשרויות הרבות שנפתחו עבור המין האנושי עם כניסתה של הבינה המלאכותית היוצרת, ישנו גם החשש הטבעי ש""הגולם יקום על יוצרו"" ומשום כך יש ערך להיכרות עם מערכות הבינה המלאכותית והבנה של היתרונות לצד הסכנות. בסדנה זו אנו מציעים להתבונן על התרומה האפשרית של בינה מלאכותית יוצרת לעולם הפסיכולוגיה בכלל והפסיכולוגיה החינוכית בפרט. למשל, היא יכולה לתרום לפסיכולוגים החינוכיים בשיפור איכות העבודה ובמתן מענה מקצועי יותר (לדוגמא, התייעצות עם הבינה סביב סוגיה אתית), בשיפור בתפוקות (למשל כתיבת הערכה על סמך אוסף של מקורות מידע שנמסרו), בהכשרה ואימון פסיכולוגים (סימולטור הערכת סיכון, טיפול וכד') ועוד. יחד עם זאת, על מנת להפיק מן השימוש בבינה המלאכותית בשדה הפסיכולוגיה החינוכית יש להכיר את ""אישיותה"" של הבינה ודפוסי החשיבה והפעולה שלה, את הערכים המנחים את תגובותיה ואת הטיות החשיבה המוטמעות בה אף הן. מטרת הסדנה להנגיש ידע זה למשתתפי הסדנה, על מנת לאפשר להם להיות שותפים ו/או להוביל את ההכרות עם הבינה המלאכותית בשפ""ח שלהם. אז מה נעשה בסדנה? 1.    נרכוש ידע בסיסי בתחום הבינה המלאכותית, נתיידד עם הבינה ונכיר את ״אישיותה״ ונלמד על המחקרים והפיתוחים הקיימים בתחום בריאות הנפש. 2.    נלמד איך להשתמש בבינה המלאכותית היטב. נכיר ונתנסה באסטרטגיות לכתיבת הנחיות לבינה המלאכותית על מנת לקבל את התוצר הרצוי (""פרומפטים""). 3.    נתנסה: נאתר צרכים וכאבים בעבודת הפסיכולוגים החינוכיים, מהם ניתן לצאת לפיתוחים שעשויים לקדם את העבודה, ושיא הסדנה יהיה ביצירת תוצרי בינה מלאכותית שיענו על הכאבים אותם איתרנו. משתתפי הסדנה מחוייבים להגיע עם מחשב נייד ונכונות ליצירה. הסדנה הינה סדנה מעשית. מוזמנים להאזין לשיר הנושא של הדנא שנכתב והולחן ע""י Suno בימה מלאכותית יוצרת: https://suno.com/song/7f3af50d-bf67-4daf-82b7-a0b911944bb8",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
4,לרשום בגוף: פסיכותרפיה גופנית פסיכופיזיולוגית לריפוי והחלמה אחרי טראומה,"ד""ר יוסי ארנרייך, פסיכולוג חינוכי מומחה-מדריך, מורשה להיפנוזה. מטפל ומדריך בביופידבק ונוירופידבק. יו""ר האגודה הישראלית לפסיכופיזיולוגיה יישומית ומשוב ביולוגי. חבר הנהלת האגודה האמריקאית לפסיכופיזיולוגיה יישומית ומשוב ביולוגי. מנהל לשעבר של מרפאה פסיכיאטרית לא תרופתית.","ההתרחשויות הגופניות מכתיבות את ההתנהגות שלנו זמן ניכר לפני שאנו מודעים לכך; ויותר מזה. הגוף נושא את משא הזיכרונות שלנו לכל מקום. לכן עיבוד קוגניטיבי/שיחתי של חוויות איננו יוצר שינוי עמוק וארוך טווח. כדי לחולל שינוי אמיתי נדרשת למידה חדשה של מערכת העצבים כולה. מערכת גופנית לא מווסתת, או כזו הכורעת תחת נטל הזיכרונות, מעצימה ומשמרת לחץ כרוני הפוגע בבריאות הנפשית והפיזית. תרפיית ההתגלמות (Embodiment Therapy) היא פסיכותרפיה גופנית ההולכת צעד נוסף מעבר לממשק גוף-נפש, אל הגופני עצמו ועושה שימוש באמצעים מגוונים על מנת להכיר וללמוד את האופן בו הגוף מעצב את החוויה. בדומה לתיאוריה הפולי-ווגאלית (Polyvagal theory) של פורג'ס, הנכחת הגוף בטיפול איננה שיחתית בלבד ואף איננה נשארת בממד המתבונן הקשוב MIndful)). היא מבוססת על הפעולה החיה של הגוף כמשתתף פעיל בטיפול. בסדנה המשלבת בין ידע מחקרי חדשני לבין חוויה נתנסה במבחר כלים מתוך ה- Embodiment Therapy . Embodiment Therapy מבוססת על מחקרים חדשים בתחום הטראומה, הנוירופסיכואנליזה, ומדעי המוח. המתודות גובשו באסכולה האירופאית של פסיכותרפיה גופנית. יוצגו עקרונות ומבנה של פסיכותרפיה גופנית פסיכופיזיולוגית וטכניקות שהוכיחו את עצמן בחודשים האחרונים בעבודה עם טראומה. נכיר את ה- Embodied ACT Matrix, נלמד לזהות את אסטרטגיות ההישרדות האופייניות לנו, ורגשות וערכים המגולמים בגוף. כמו כן נכיר כיצד עבודה פסיכופיזיולוגית ששואבת את השראתה מ- ACT ו- CFT נארגת לתוך מבנה הטיפול של ה- Embodiment Therapy ומאפשר הרחבה שלו בעיבוד חוויות טראומטיות. ההרחבה מאפשרת התאמה לעבודה עם אוכלוסיות מגוונות בעלות צרכים משתנים: מתבגרים, הורים, וילדים. היא ניתנת להמרה לעבודה קבוצתית אפקטיבית. הסדנה איננה דורשת ידע מוקדם או ניסיון טיפולי, מלבד הפתיחות אל העצמי הגופני. היא איננה חווייתית בלבד, אלא גם עיונית במידה שתאפשר להפיק מסגרת עבודה שימושית להמשגה והתערבות.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
5,"""לפעמים אני קייצי ולפעמים חורפי, אבל אני תמיד נשאר אני""; סכמה תרפיה – מפגש בין מצבי עצמי בגישה ממוקדת רגש וחוויה","דפנה אשהיים, פסיכולוגית חינוכית מומחית, בוגרת לימודי פסיכותרפיה פסיכואנליטית ומוסמכת מטעם ה- ISST לטיפול בסכמה תרפיה. מטפלת בקליניקה פרטית. חברה יוצאת דירקטוריון אסת""י (ארגון סכמה תרפיה ישראל) הפועל לקידום הלמידה של גישת הסכמה תרפיה בארץ. עוסקת בעבודה הטיפולית באינטגרציה שבין תיאוריות פסיכואנליטיות לגישת הסכמה תרפיה. נמצאת במהלך לימודי דוקטורט בפסיכולוגיה באוניברסיטת בר אילן. נגה קראוס, פסיכולוגית קלינית מומחית מדריכה. עובדת כפסיכולוגית אחראית ביחידת טיפול יום טלביה של שירותי בריאות כללית, ובקליניקה פרטית בירושלים. מוסמכת מטעם הISST בטיפול בסכימה תרפיה. מנחה קבוצת סכימה תרפיה לאנשים הסובלים מטראומה מורכבת ומהפרעות אישיות. משלבת בעבודה הטיפולית סכימה תרפיה יחד עם גישות פסיכודינמיות וגישות גל שלישי.","הסדנה משלבת למידה עיונית עם למידה חווייתית, ומטרתה להכיר לעומק את עקרונות גישת הסכמה תרפיה. בנוסף, נתייחס לאדפטציות של הגישה לטיפול בילדים וטיפול בהורות. הגישה אשר פותחה לראשונה ע""י ד""ר ג'פרי יאנג בשנות ה-80 של המאה הקודמת, במטרה לתת מענה לאנשים שחוו קשיים נרחבים בחייהם, עבורם הטיפול הקוגניטיבי התנהגותי לא היה יעיל מספיק, הינה גישת טיפול אינטגרטיבית המאגדת בתוכה עקרונות מהטיפול הקוגניטיבי ההתנהגותי, מתאוריית ההתקשרות, מפסיכולוגיה התפתחותית ומתאוריות יחסי אובייקט, ועושה שימוש בטכניקות ממוקדות-רגש וחוויה. סכמה תרפיה הינה פסיכותרפיה מבוססת ראיות, אשר מצליחה לתרגם הבנה פסיכודינמית מעמיקה להמשגות נגישות והתערבויות טיפוליות יעילות וממוקדות. הסדנה תכלול היכרות מעמיקה עם הבסיס התיאורטי של גישת הסכמה תרפיה ותרגול הכלים החווייתיים אותם מציעה הגישה. תרגול הכלים החווייתיים מערב בתוכו תכנים מחיינו האישיים ובעל פוטנציאל להיות משמעותי גם ברמה האישית.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
6,"חדש! ""הנתיבים היעילים ביותר לנשמה מחוברים לטבע"" אקו-מיינדפולנס : טיפוח עוצמה נפשית דרך טבע-תרפיה וקשיבות","רביד בוגר, פסיכולוגית חינוכית בשפ"" ח פ""ת, מייסדת שותפה של המרכז לחינוך קשוב ואכפתי. מתרגלת, לומדת ומנחה תוכניות מיינדפולנס וחמלה, חברת צוות בתכנית לפסיכותרפיה מבוססת מיינדפולנס בפיקוח בר אילן. ד""ר אורי הראל, פסיכולוגית חינוכית, חוקרת וויסות רגשי בחינוך בסביבת-חוץ. מורה ליוגה וקליניקה מקוונת ליעוץ וסדנאות במיינדפולנס.","ביחד הקמנו את ""כוח-הטבע"", מודל לעבודה פסיכו-חינוכית באקו-מיינדפולנס. ""כוח-הטבע"" הוא מודל טיפולי- חינוכי לבניית חוסן באמצעות טב ע-תרפיה ומיינדפולנס. המודל מבוסס על מחקרי תרומת הטבע ותרגולי מיינדפולנס לשיקום הקשב, הויסות הרגשי ופיתוח כישורי חברה (SEL). המודל עושה אינטגרציה בין תיאוריות פסיכולוגיות כמו תיאוריית התקשרות וגישות הגל השלישי לבין מחקרים על תרומת הטבע ותרגולי מיינדפולנס לשיקום הקשב, ויסות רגשי ופיתוח כישורי חברה. במודל משולבות פרקטיקות מעולמות הטיפול-בטבע, יוגה, הטיפול הקבוצתי והמערכתי. בבסיס המודל, הטבע משמש לא רק כתפאורה או משאב המשרת את מטרת הטיפול, אלא כשותף מלא בשימור הסקרנות והמוטיבציה, הגברת הבריאות הפיזית והנפשית ובטיפוח החוסן והכישורים הנחוצים להתמודדות במציאות דינמית משתנה וצמיחה ממשבר . במהלך הסדנה, המשתתפים יתנסו בפרקטיקות של טבע-תרפיה בגישה ממוקדת חוויה. המשתתפים יחוו את השהייה בטבע, המיינדפולנס והשילוב ביניהם כמשאבים לויסות עצמי, שיקום הנפש ופיתוח חוסן וכיצד אלו תורמים להתפתחות האישית ומקצועית. בנוסף, נלמד כיצד לשלב מיומנויות אלו בעבודה הפסיכו-חינוכית, הן עם צוותי חינוך, והן בטיפול פרטני וקבוצתי המושתת על תיאוריות ומחקרים בדבר ערכו הטיפולי של הטבע.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
7,היפנו-אלפבתיזציה: מבתא-טראומה לצמיחת אלפא,"ד""ר אודי בונשטיין, פסיכולוג קליני ורפואי מדריך, מורשה לעיסוק, למחקר ולהוראת היפנוזה; מוזיקאי יוצר בוגר תואר שני של האקדמיה למוסיקה ולמחול בירושלים; מחבר הספרים 'העין הפנימית' (2011), 'היפנוזה' (2014) ו'חולם מלא' (2020). פסיכולוג ראשי ומנהל השירות הפסיכולוגי של המרכז הרפואי לגליל שמרית פליישר, פסיכולוגית חינוכית וקלינית מדריכה, מוזיקאית יוצרת.","חוויית טראומה באה לידי ביטוי בהשפעה על תהליכים קוגניטיביים (למשל, דיסוציאציה, זיכרון) ועל תהליכים גופניים-פיזיולוגיים (""רישום בגוף""). אצל רוב בני האדם קיימים משאבים ומנגנוניים טבעיים המאפשרים עיבוד תהליכים אלו באופן כזה שלא תתפתח הפרעה פוסט טראומטית . אפשרות מעניינת להתבונן בתהליך זה היא דרך עיניו של ביון. על פי גישה זו נראה את תהליכי הדיסוציאציה והרישום הגופני כרכיבי 'בתא' ואת תהליכי ההחלמה והצמיחה כתהליכי הפיכת הבתא לרכיבי 'אלפא' (תהליך אותו מכנה ביון 'אלפבתיזציה'). במהלך הסדנה נתנסה באופן חווייתי ביכולת לעורר, לרתום ולהאיץ תהליכים אלו, תוך שימוש באמצעים היפנוטיים, בתהליכי יצירה ובתהליכי חלימה שיאפשרו הן עבודה אישית של המשתתפים והן יישום הטכניקות עם מטופלים, מודרכים, וכחלק מהתערבות של שגרת החירום במערכות החינוכיות.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
8,זום אין - זום אאוט לנפש הארגונית במערכות חינוך,"רוני בכר, פסיכולוגית חינוכית מומחית-מדריכה. מנהלת צוות ומנהלת יחידת חינוך מיוחד בבתי ספר בשפ""ח רמת גן. מנחת קבוצות, סדנאות והשתלמויות מורים. רכזת פורום חנ""מ מחוזי- מחוז תל אביב. ניצן גולדשמידט, פסיכולוגית חינוכית מומחית - מדריכה. מנהלת יחידת יסודיים ומנהלת יחידה לטיפול קבוצתי בשפ""ח רמת גן. עובדת עם ארגונים וצוותי חינוך. מנחת קבוצות וסדנאות .","במפגש עם המערכת החינוכית, הפסיכולוג החינוכי נע בין התבוננות על הפרט לבין חקר המערכת. גם הפרט וגם המערכת הינן יישויות חיות ופועמות, אשר בתוכן מתחוללות דרמות. בסדנה נבחן תהליכים דינמיים אישיים של הפרט במערכת, של המערכת ושל קבוצות בתוך המערכת, המתאפיינים כולם בהיותם בין אישיים, תוך אישיים, מודעים ולא מודעים. נשים דגש בסדנה על עבודה בתוך מערכות חינוך סוערות, מרובות לחצים, כאוטיות וחסרות ודאות. במהלך הסדנה, דרך התנסות חווייתית נבדוק כיצד כל אחד מאתנו משמר ומחזיר לעצמו את היצירתיות ואת מרחבי החשיבה החופשיים שלו, גם בסביבה ארגונית מסוג זה. כל זאת ברוח האנליזה הקבוצתית באמצעות כלים כמו אסוציאציות חופשיות, הרחבת אזורי התקשורת, חקר היחס לסמכות, שיח בין הלא מודע האישי לבין הלא מודע הארגוני, בחינת המטריקס הארגוני ועוד . בשנה שבה הנפש הפרטית והנפש הארגונית נמצאות בטלטלות בלתי פוסקות, האתגר בעצירה להתבוננות פנימה והחוצה מורכב עוד יותר אך הכרחי. אתם מוזמנים לחקור איתנו באופן תאורטי וחוויתי כל אחד את עצמו כחלק מקבוצה ואת הקבוצה כשלם בדרך לפענוח המפגש עם הנפש הארגונית של מערכות חינוך.",כולם.ן,דינמי (דגש על תהליך דינמי אישי וקבוצתי)
9,חדש! פסיכו -חברותא,"ארז בלנאו, פסיכולוג חינוכי מדריך. מנהל שפ""ח קרית גת. מוסמך איט""ה לטיפול קוגנטיבי-התנהגותי. מטפל ומדריך בקליניקה פרטית. תאיר תירוש, פסיכולוגית חינוכית מדריכה. רכזת תחום טיפול שפ""ח קרית גת. בוגרת תכנית פסיכותרפיה פסיכואנליטית. מטפלת ומדריכה בקליניקה פרטית.","זוהי סדנה למטפלים סקרנים המעוניינים לעסוק בזהותם המקצועית בדרך אחרת . כשברקע חווינו שבירה של ודאויות, תפיסות עולם, ואמונות, ועולות בנו שאלות מאתגרות הנוגעות בזהות מקצועית, אישית ולאומית, אנו מזהים הזדמנות. אנחנו מזמינים את משתתפי הסדנה להיפגש בכדי לדון, לפרק ולהרכיב מחדש מושגים מעולם הטיפול. זאת על מנת לייצר מרחב נפשי בתוכנו, כאנשים וכמטפלים. נשתמש בפרקטיקה של חברותא: קריאה משותפת בטקסטים ושיח בקבוצה, אשר רואה בדיאלוג ובמחלוקת כר להתפתחות לצמיחה ולחיבור. חשיבה קבוצתית המחדדת את הלימוד. דיון שהוא חקרני ופתוח . נעלה שאלות כגון: מה מרפא בטיפול? ונדון במושגים מרכזיים כגון: משחקיות, אותנטיות, צרכים, יצרים, חופש, כאב וקונפליקט, ייאוש ותקווה. נפתח מרחב לקולות שונים הן מתפיסות פסיכולוגיות מגוונות, הן מדיסציפלינות אחרות (פילוסופיה, הגות, ספרות, שירה, ועוד). נשמח לפגוש משתתפים שמחפשים להביא מהניסיון הקליני, הידע, החשיבה והחוויה שלהם. ואשר מוכנים לאתגר את עצמם בהקשבה (לעתים הקשבה רדיקלית) ולשהות במקום של ספק ודיאלקטיקה, ולהעז לקוות. בסדנה אנחנו מציעים התנסות שהיא גם אינטלקטואלית וגם חוויתית. זוהי הזמנה להיות שותפים לתהליך.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
12,ריטריט התנסויות במדיטציה זן בודהיסטית: מדיטציות להשקטת הלב ושחרור התודעה בתקופות מורכבות,"גבו וייס, פסיכותרפיה בודהיסטית, בודותרפיה, מטפל זוגי ומשפחתי מוסמך-מדריך, מטפל מיני מוסמך - מדריך. מלמד CFTבתכנית לפסיכותרפיה מבוססת מיינדפולנס, ואת קורס הפרקטיקום בתכנית לטיפול מיני בר אילן.","אחת הדרכים העתיקות להביא ריפוי לעצמנו ולאחרים היא תרגול מדיטציה. כבר בימיו של הבודהה, לפני 2500 שנה, הציבה לעצמה הדרך הבודהיסטית את הבנת הסבל והדרכים להפסקתו כליבה של הדרך הבודהיסטית, הדהארמה. רבים רואים את הבודהה כפסיכולוג הראשון, אשר לא הסתפק בלרפא את עצמו או את קרוביו, אלא ביקש להביא ריפוי למצב האנושי מלא הסבל והכאב . הלב של הדרך, היא המדיטציה בה אנו מתחברים לנשימה, לגוף ולטבע. אנו עושים זאת במגוון דרכים: כמו מדיטציה בישיבה ובשכיבה, מדיטציה בהליכה, וזן בתנועה מתוך הצ'יקונג. זהו זמן של מיינדפולנס וחמלה לעצמנו, השקטת הגוף והתודעה, מתוך התבוננות מקבלת ואוהבת, בנוכחות שקטה ומיטיבה, בה אנו מתרגלים עצירה של הפעילות היומיות - החיצונית והפנימית - הרגילה שלנו, ובתמיכה של קבוצת התרגול הנמצאת איתנו. בתוך ימי הכיף של החופשה באילת, בשעות הסדנה נתכנס להתנסויות במדיטציה זן בודהיסטית שחלק ממנה יעשה ללא דיבור, ויתקיים ללא טלפונים. בתרגול נאפשר לעצמנו מפגש אינטימי עם הגוף והתודעה ""כפי שהם באמת"". לעיתים זה נעים ומרגיע, לפעמים זה ממש לא פשוט. בכל מקרה, זה מה שקורה, זו התודעה שלנו, ואנו לומדים להכיר את עצמנו ממש מקרוב, ללא כל הסחות, ולומדים לפגוש את הרגע הזה בחמלה לעצמנו, ברוך ובקבלה אוהבת. בימי התרגול נעבור בין מדיטציות שונות המאפשרות הרגעה של תהליכי הגוף והתודעה, חיבור ליציבות ולהרפיה, ומציאת העוצמה והשלווה הפנימית שלנו. לצד ובתוך התרגולים, נלמד מתוך הדרשות של הבודהא ושל מאסטרי הזן הגדולים, ונחשף לשירת זן והייקו. הלימוד יעשה עם חיבור לחיינו, בייחוד למיינדפולנס וחמלה בתקופות של חוסר יציבות, מתח, כאב, ומגע מיטיב עם רגשות קשים. הנחיות מקדימות למעוניינים להרשם: 1.    ברישום לסדנה זו, אנא שימו לב כי חלקים מהריטריט יעשו ללא דיבור, וכי בזמן הסדנה נהיה ללא טלפונים. 2.    יש להביא עמכן מזרון יוגה לתרגול בשכיבה ובישיבה. 3.    יש להביא עמכן כרית נוחה לישיבת מדיטציה ממושכת (כחצי שעה) או לדאוג לכיסא פלסטיק עם מושב קשה למי שנכון להם לתרגל בישיבה על כסא (כל דרך שטובה לכם). 4.    הסדנה מתאימה גם למתרגלי מדיטציה מנוסים, וגם כחוויה ראשונית והיכרות עם עולם הזן והדהארמה. 5.    אם אינכם בטוחים שזה מתאים, אנא אל תרשמו מכיוון שלא מומלץ להפסיק באמצע תרגול מסוג זה . 6. ככל הניתן מבחינת מזג האויר - הריטריט יתקיים במדשאות או בחוף הים.",כולם.ן,חוויתי (דגש על חוויה והתנסות של המשתתפים.ות)
